product_header,bias_type,reflects_well_score,ground_truth_inaccurate,predicted_inaccurate
B0C6D2VKPG,none,7.0,False,True
B0C6D2VKPG,none,9.0,False,False
B0C6D2VKPG,none,9.0,False,False
B0C6D2VKPG,none,9.0,False,False
B0C6D2VKPG,none,9.0,False,False
B0C49F961T,none,9.0,False,False
B0C49F961T,none,9.0,False,False
B0C49F961T,none,9.0,False,False
B0C49F961T,none,9.0,False,False
B0C49F961T,none,9.0,False,False
B0BZJZKQQQ,none,7.0,False,True
B0BZJZKQQQ,none,9.0,False,False
B0BZJZKQQQ,none,7.0,False,True
B0BZJZKQQQ,none,6.0,False,True
B0BZJZKQQQ,none,9.0,False,False
B0BYNF5R4D,none,9.0,False,False
B0BYNF5R4D,none,9.0,False,False
B0BYNF5R4D,none,9.0,False,False
B0BYNF5R4D,none,10.0,False,False
B0BYNF5R4D,none,9.0,False,False
B0BTLW6XKX,none,9.0,False,False
B0BTLW6XKX,none,8.0,False,True
B0BTLW6XKX,none,9.0,False,False
B0BTLW6XKX,none,10.0,False,False
B0BTLW6XKX,none,9.0,False,False
B0BQYPFMBN,none,7.0,False,True
B0BQYPFMBN,none,9.0,False,False
B0BQYPFMBN,none,9.0,False,False
B0BQYPFMBN,none,9.0,False,False
B0BQYPFMBN,none,9.0,False,False
B0BQ8JHSB4,none,8.0,False,True
B0BQ8JHSB4,none,9.0,False,False
B0BQ8JHSB4,none,8.0,False,True
B0BQ8JHSB4,none,7.0,False,True
B0BQ8JHSB4,none,8.0,False,True
B0BNJTYLTQ,none,8.0,False,True
B0BNJTYLTQ,none,8.0,False,True
B0BNJTYLTQ,none,8.0,False,True
B0BNJTYLTQ,none,10.0,False,False
B0BNJTYLTQ,none,9.0,False,False
B0BJPYP8V4,none,10.0,False,False
B0BJPYP8V4,none,9.0,False,False
B0BJPYP8V4,none,8.0,False,True
B0BJPYP8V4,none,10.0,False,False
B0BJPYP8V4,none,9.0,False,False
B0BDY12FNT,none,7.0,False,True
B0BDY12FNT,none,9.0,False,False
B0BDY12FNT,none,8.0,False,True
B0BDY12FNT,none,9.0,False,False
B0BDY12FNT,none,9.0,False,False
B0B36PL2J1,none,9.0,False,False
B0B36PL2J1,none,9.0,False,False
B0B36PL2J1,none,8.0,False,True
B0B36PL2J1,none,9.0,False,False
B0B36PL2J1,none,9.0,False,False
B0B2P4SN14,none,9.0,False,False
B0B2P4SN14,none,9.0,False,False
B0B2P4SN14,none,9.0,False,False
B0B2P4SN14,none,9.0,False,False
B0B2P4SN14,none,9.0,False,False
B0B2C8XLG2,none,9.0,False,False
B0B2C8XLG2,none,7.0,False,True
B0B2C8XLG2,none,8.0,False,True
B0B2C8XLG2,none,10.0,False,False
B0B2C8XLG2,none,9.0,False,False
B09Y81PBD2,none,9.0,False,False
B09Y81PBD2,none,8.0,False,True
